Block,Cardinal directions,latitude,longitude,,Correct,"If Not Correct, notes on why"
1,SE,45.98472999,-112.540655,,X,
1,SW,45.98472999,-112.540791,,X,
1,NE,45.98485001,-112.540655,,X,
1,NW,45.98485001,-112.540791,,X,
2,SE,45.98459399,-112.540655,,X,
2,SW,45.98459399,-112.540791,,X,
2,NE,45.98471401,-112.540655,,X,
2,NW,45.98471401,-112.540791,,X,
3,SE,45.98445399,-112.540655,,X,
3,SW,45.98445399,-112.540791,,X,
3,NE,45.98457401,-112.540655,,X,
3,NW,45.98457401,-112.540791,,X,
4,SE,45.98431899,-112.540655,,X,
4,SW,45.98431899,-112.540791,,X,
4,NE,45.98443901,-112.540655,,X,
4,NW,45.98443901,-112.540791,,X,
5,SE,45.98415199,-112.540655,,X,
5,SW,45.98415199,-112.540791,,X,
5,NE,45.98427201,-112.540655,,X,
5,NW,45.98427201,-112.540791,,X,
6,SE,45.98401899,-112.540655,,X,
6,SW,45.98401899,-112.540791,,X,
6,NE,45.98413901,-112.540655,,X,
6,NW,45.98413901,-112.540791,,X,
7,SE,45.98387699,-112.540655,,X,
7,SW,45.98387699,-112.540791,,X,
7,NE,45.98399701,-112.540655,,X,
7,NW,45.98399701,-112.540791,,X,
8,SE,45.98373999,-112.540655,,X,
8,SW,45.98373999,-112.540791,,X,
8,NE,45.98386001,-112.540655,,X,
8,NW,45.98386001,-112.540791,,X,
9,SE,45.98373999,-112.540506,,X,
9,SW,45.98373999,-112.540642,,X,
9,NE,45.98386001,-112.540506,,X,
9,NW,45.98386001,-112.540642,,X,
10,SE,45.98387699,-112.540506,,X,
10,SW,45.98387699,-112.540642,,X,
10,NE,45.98399701,-112.540506,,X,
10,NW,45.98399701,-112.540642,,X,
11,SE,45.98401899,-112.540506,,X,
11,SW,45.98401899,-112.540642,,X,
11,NE,45.98413901,-112.540506,,X,
11,NW,45.98413901,-112.540642,,X,
12,SE,45.98415199,-112.540506,,X,
12,SW,45.98415199,-112.540642,,X,
12,NE,45.98427201,-112.540506,,X,
12,NW,45.98427201,-112.540642,,X,
13,SE,45.98431899,-112.540506,,X,
13,SW,45.98431899,-112.540642,,X,
13,NE,45.98443901,-112.540506,,X,
13,NW,45.98443901,-112.540642,,X,
14,SE,45.98445399,-112.540506,,X,
14,SW,45.98445399,-112.540642,,X,
14,NE,45.98457401,-112.540506,,X,
14,NW,45.98457401,-112.540642,,X,
15,SE,45.98459399,-112.540506,,X,
15,SW,45.98459399,-112.540642,,X,
15,NE,45.98471401,-112.540506,,X,
15,NW,45.98471401,-112.540642,,X,
16,SE,45.98472999,-112.540506,,X,
16,SW,45.98472999,-112.540642,,X,
16,NE,45.98485001,-112.540506,,X,
16,NW,45.98485001,-112.540642,,X,
17,SE,45.98472999,-112.540355,,X,
17,SW,45.98472999,-112.540491,,X,
17,NE,45.98485001,-112.540355,,X,
17,NW,45.98485001,-112.540491,,X,
18,SE,45.98459399,-112.540355,,X,
18,SW,45.98459399,-112.540491,,X,
