Block,direction,latitude,longitude,
1,SE,45.98472999,-112.540655,
1,SW,45.98472999,-112.540791,
1,NE,45.98485001,-112.540655,
1,NW,45.98485001,-112.540791,
2,SE,45.98459399,-112.540655,
2,SW,45.98459399,-112.540791,
2,NE,45.98471401,-112.540655,
2,NW,45.98471401,-112.540791,
3,SE,45.98445399,-112.540655,
3,SW,45.98445399,-112.540791,
3,NE,45.98457401,-112.540655,
3,NW,45.98457401,-112.540791,
4,SE,45.98431899,-112.540655,
4,SW,45.98431899,-112.540791,
4,NE,45.98443901,-112.540655,
4,NW,45.98443901,-112.540791,
5,SE,45.98415199,-112.540655,
5,SW,45.98415199,-112.540791,
5,NE,45.98427201,-112.540655,
5,NW,45.98427201,-112.540791,
6,SE,45.98401899,-112.540655,
6,SW,45.98401899,-112.540791,
6,NE,45.98413901,-112.540655,
6,NW,45.98413901,-112.540791,
7,SE,45.98387699,-112.540655,
7,SW,45.98387699,-112.540791,
7,NE,45.98399701,-112.540655,
7,NW,45.98399701,-112.540791,
8,SE,45.98373999,-112.540655,
8,SW,45.98373999,-112.540791,
8,NE,45.98386001,-112.540655,
8,NW,45.98386001,-112.540791,
9,SE,45.98373999,-112.540506,
9,SW,45.98373999,-112.540642,
9,NE,45.98386001,-112.540506,
9,NW,45.98386001,-112.540642,
10,SE,45.98387699,-112.540506,
10,SW,45.98387699,-112.540642,
10,NE,45.98399701,-112.540506,
10,NW,45.98399701,-112.540642,
11,SE,45.98401899,-112.540506,
11,SW,45.98401899,-112.540642,
11,NE,45.98413901,-112.540506,
11,NW,45.98413901,-112.540642,
12,SE,45.98415199,-112.540506,
12,SW,45.98415199,-112.540642,
12,NE,45.98427201,-112.540506,
12,NW,45.98427201,-112.540642,
13,SE,45.98431899,-112.540506,
13,SW,45.98431899,-112.540642,
13,NE,45.98443901,-112.540506,
13,NW,45.98443901,-112.540642,
14,SE,45.98445399,-112.540506,
14,SW,45.98445399,-112.540642,
14,NE,45.98457401,-112.540506,
14,NW,45.98457401,-112.540642,
15,SE,45.98459399,-112.540506,
15,SW,45.98459399,-112.540642,
15,NE,45.98471401,-112.540506,
15,NW,45.98471401,-112.540642,
16,SE,45.98472999,-112.540506,
16,SW,45.98472999,-112.540642,
16,NE,45.98485001,-112.540506,
16,NW,45.98485001,-112.540642,
17,SE,45.98472999,-112.540355,
17,SW,45.98472999,-112.540491,
17,NE,45.98485001,-112.540355,
17,NW,45.98485001,-112.540491,
18,SE,45.98459399,-112.540355,
18,SW,45.98459399,-112.540491,
18,NE,45.98471401,-112.540355,
18,NW,45.98471401,-112.540491,
19,SE,45.98445399,-112.540355,
19,SW,45.98445399,-112.540491,
19,NE,45.98457401,-112.540355,
19,NW,45.98457401,-112.540491,
20,SE,45.98431899,-112.540355,
20,SW,45.98431899,-112.540491,
20,NE,45.98443901,-112.540355,
20,NW,45.98443901,-112.540491,
21,SE,45.98415199,-112.540355,
21,SW,45.98415199,-112.540491,
21,NE,45.98427201,-112.540355,
21,NW,45.98427201,-112.540491,
22,SE,45.98401899,-112.540355,
22,SW,45.98401899,-112.540491,
22,NE,45.98413901,-112.540355,
22,NW,45.98413901,-112.540491,
23,SE,45.98387699,-112.540355,
23,SW,45.98387699,-112.540491,
23,NE,45.98399701,-112.540355,
23,NW,45.98399701,-112.540491,
24,SE,45.98373999,-112.540355,
24,SW,45.98373999,-112.540491,
24,NE,45.98386001,-112.540355,
24,NW,45.98386001,-112.540491,
25,SE,45.98373999,-112.540189,
25,SW,45.98373999,-112.540325,
25,NE,45.98386001,-112.540189,
25,NW,45.98386001,-112.540325,
26,SE,45.98387699,-112.540189,
26,SW,45.98387699,-112.540325,
26,NE,45.98399701,-112.540189,
26,NW,45.98399701,-112.540325,
27,SE,45.98401899,-112.540189,
27,SW,45.98401899,-112.540325,
27,NE,45.98413901,-112.540189,
27,NW,45.98413901,-112.540325,
28,SE,45.98445399,-112.540189,
28,SW,45.98445399,-112.540325,
28,NE,45.98457401,-112.540189,
28,NW,45.98457401,-112.540325,
29,SE,45.98459399,-112.540189,
29,SW,45.98459399,-112.540325,
29,NE,45.98471401,-112.540189,
29,NW,45.98471401,-112.540325,
30,SE,45.98472999,-112.540189,
30,SW,45.98472999,-112.540325,
30,NE,45.98485001,-112.540189,
30,NW,45.98485001,-112.540325,
31,SE,45.98472999,-112.540034,
31,SW,45.98472999,-112.54017,
31,NE,45.98485001,-112.540034,
31,NW,45.98485001,-112.54017,
32,SE,45.98459399,-112.540034,
32,SW,45.98459399,-112.54017,
32,NE,45.98471401,-112.540034,
32,NW,45.98471401,-112.54017,
33,SE,45.98445399,-112.540034,
33,SW,45.98445399,-112.54017,
33,NE,45.98457401,-112.540034,
33,NW,45.98457401,-112.54017,
34,SE,45.98401899,-112.540034,
34,SW,45.98401899,-112.54017,
34,NE,45.98413901,-112.540034,
34,NW,45.98413901,-112.54017,
35,SE,45.98387699,-112.540034,
35,SW,45.98387699,-112.54017,
35,NE,45.98399701,-112.540034,
35,NW,45.98399701,-112.54017,
36,SE,45.98373999,-112.540034,
36,SW,45.98373999,-112.54017,
36,NE,45.98386001,-112.540034,
36,NW,45.98386001,-112.54017,
37,SE,45.98373999,-112.53984,
37,SW,45.98373999,-112.539976,
