block,SE,SE,SW,SW,NE,NE,NW,NW
1,45.98472999,-112.540655,45.98472999,-112.540791,45.98485001,-112.540655,45.98485001,-112.540791
2,45.98459399,-112.540655,45.98459399,-112.540791,45.98471401,-112.540655,45.98471401,-112.540791
3,45.98445399,-112.540655,45.98445399,-112.540791,45.98457401,-112.540655,45.98457401,-112.540791
4,45.98431899,-112.540655,45.98431899,-112.540791,45.98443901,-112.540655,45.98443901,-112.540791
5,45.98415199,-112.540655,45.98415199,-112.540791,45.98427201,-112.540655,45.98427201,-112.540791
6,45.98401899,-112.540655,45.98401899,-112.540791,45.98413901,-112.540655,45.98413901,-112.540791
7,45.98387699,-112.540655,45.98387699,-112.540791,45.98399701,-112.540655,45.98399701,-112.540791
8,45.98373999,-112.540655,45.98373999,-112.540791,45.98386001,-112.540655,45.98386001,-112.540791
9,45.98373999,-112.540506,45.98373999,-112.540642,45.98386001,-112.540506,45.98386001,-112.540642
10,45.98387699,-112.540506,45.98387699,-112.540642,45.98399701,-112.540506,45.98399701,-112.540642
11,45.98401899,-112.540506,45.98401899,-112.540642,45.98413901,-112.540506,45.98413901,-112.540642
12,45.98415199,-112.540506,45.98415199,-112.540642,45.98427201,-112.540506,45.98427201,-112.540642
13,45.98431899,-112.540506,45.98431899,-112.540642,45.98443901,-112.540506,45.98443901,-112.540642
14,45.98445399,-112.540506,45.98445399,-112.540642,45.98457401,-112.540506,45.98457401,-112.540642
15,45.98459399,-112.540506,45.98459399,-112.540642,45.98471401,-112.540506,45.98471401,-112.540642
16,45.98472999,-112.540506,45.98472999,-112.540642,45.98485001,-112.540506,45.98485001,-112.540642
17,45.98472999,-112.540355,45.98472999,-112.540491,45.98485001,-112.540355,45.98485001,-112.540491
18,45.98459399,-112.540355,45.98459399,-112.540491,45.98471401,-112.540355,45.98471401,-112.540491
19,45.98445399,-112.540355,45.98445399,-112.540491,45.98457401,-112.540355,45.98457401,-112.540491
20,45.98431899,-112.540355,45.98431899,-112.540491,45.98443901,-112.540355,45.98443901,-112.540491
21,45.98415199,-112.540355,45.98415199,-112.540491,45.98427201,-112.540355,45.98427201,-112.540491
22,45.98401899,-112.540355,45.98401899,-112.540491,45.98413901,-112.540355,45.98413901,-112.540491
23,45.98387699,-112.540355,45.98387699,-112.540491,45.98399701,-112.540355,45.98399701,-112.540491
24,45.98373999,-112.540355,45.98373999,-112.540491,45.98386001,-112.540355,45.98386001,-112.540491
25,45.98373999,-112.540189,45.98373999,-112.540325,45.98386001,-112.540189,45.98386001,-112.540325
26,45.98387699,-112.540189,45.98387699,-112.540325,45.98399701,-112.540189,45.98399701,-112.540325
27,45.98401899,-112.540189,45.98401899,-112.540325,45.98413901,-112.540189,45.98413901,-112.540325
28,45.98445399,-112.540189,45.98445399,-112.540325,45.98457401,-112.540189,45.98457401,-112.540325
29,45.98459399,-112.540189,45.98459399,-112.540325,45.98471401,-112.540189,45.98471401,-112.540325
30,45.98472999,-112.540189,45.98472999,-112.540325,45.98485001,-112.540189,45.98485001,-112.540325
31,45.98472999,-112.540034,45.98472999,-112.54017,45.98485001,-112.540034,45.98485001,-112.54017
32,45.98459399,-112.540034,45.98459399,-112.54017,45.98471401,-112.540034,45.98471401,-112.54017
33,45.98445399,-112.540034,45.98445399,-112.54017,45.98457401,-112.540034,45.98457401,-112.54017
34,45.98401899,-112.540034,45.98401899,-112.54017,45.98413901,-112.540034,45.98413901,-112.54017
35,45.98387699,-112.540034,45.98387699,-112.54017,45.98399701,-112.540034,45.98399701,-112.54017
36,45.98373999,-112.540034,45.98373999,-112.54017,45.98386001,-112.540034,45.98386001,-112.54017
37,45.98373999,-112.53984,45.98373999,-112.539976,45.98386001,-112.53984,45.98386001,-112.539976
38,45.98387699,-112.53984,45.98387699,-112.539976,45.98399701,-112.53984,45.98399701,-112.539976
39,45.98401899,-112.53984,45.98401899,-112.539976,45.98413901,-112.53984,45.98413901,-112.539976
40,45.98445399,-112.53984,45.98445399,-112.539976,45.98457401,-112.53984,45.98457401,-112.539976
41,45.98459399,-112.53984,45.98459399,-112.539976,45.98471401,-112.53984,45.98471401,-112.539976
42,45.98472999,-112.53984,45.98472999,-112.539976,45.98485001,-112.53984,45.98485001,-112.539976
43,45.98472999,-112.539682,45.98472999,-112.539818,45.98485001,-112.539682,45.98485001,-112.539818
44,45.98459399,-112.539682,45.98459399,-112.539818,45.98471401,-112.539682,45.98471401,-112.539818
45,45.98445399,-112.539682,45.98445399,-112.539818,45.98457401,-112.539682,45.98457401,-112.539818
46,45.98401899,-112.539682,45.98401899,-112.539818,45.98413901,-112.539682,45.98413901,-112.539818
47,45.98387699,-112.539682,45.98387699,-112.539818,45.98399701,-112.539682,45.98399701,-112.539818
48,45.98373999,-112.539682,45.98373999,-112.539818,45.98386001,-112.539682,45.98386001,-112.539818
49,45.98373999,-112.539524,45.98373999,-112.53966,45.98386001,-112.539524,45.98386001,-112.53966
50,45.98387699,-112.539524,45.98387699,-112.53966,45.98399701,-112.539524,45.98399701,-112.53966
